名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率,チーム
藤中,311,126,19,40.5,34.4,2,670,284,190,0,0,0,0.0,0,,56.6,ジェイテクトSTINGS
郡,51,29,1,56.9,54.9,1,53,23,11,0,0,0,0.0,0,,53.8,ジェイテクトSTINGS
西田,772,439,60,56.9,49.1,12,5,0,3,0,0,0,0.0,0,,30.0,ジェイテクトSTINGS
本間,0,0,0,,,0,407,197,117,0,0,0,0.0,0,,62.8,ジェイテクトSTINGS
福山,245,120,15,49.0,42.9,21,34,14,15,0,0,0,0.0,0,,63.2,ジェイテクトSTINGS
伏見,93,39,6,41.9,35.5,4,16,6,5,0,0,0,0.0,0,,53.1,ジェイテクトSTINGS
久保山,4,3,0,75.0,75.0,6,7,0,0,0,0,0,0.0,0,,0.0,ジェイテクトSTINGS
浅野,1,0,0,0.0,0.0,0,23,9,3,0,0,0,0.0,0,,45.7,ジェイテクトSTINGS
柳澤,97,44,3,45.4,42.3,0,109,40,27,0,0,0,0.0,0,,49.1,ジェイテクトSTINGS
袴谷,95,48,8,50.5,42.1,1,0,0,0,0,0,0,0.0,0,,,ジェイテクトSTINGS
金丸,4,1,1,25.0,0.0,1,3,2,0,0,0,0,0.0,0,,66.7,ジェイテクトSTINGS
小林,2,1,0,50.0,50.0,1,1,1,0,0,0,0,0.0,0,,100.0,ジェイテクトSTINGS
フェリペ,450,228,30,50.7,44.0,5,671,271,188,0,0,0,0.0,0,,54.4,ジェイテクトSTINGS
興梠,0,0,0,,,0,6,4,0,0,0,0,0.0,0,,66.7,ジェイテクトSTINGS
饒,166,102,7,61.4,57.2,10,27,13,6,0,0,0,0.0,0,,59.3,ジェイテクトSTINGS
宮浦,10,8,0,80.0,80.0,0,0,0,0,0,0,0,0.0,0,,,ジェイテクトSTINGS
村山,5,2,0,40.0,40.0,1,0,0,0,0,0,0,0.0,0,,,ジェイテクトSTINGS
深津,25,14,0,56.0,56.0,7,9,0,0,0,0,0,0.0,0,,0.0,パナソニックパンサーズ
白澤,29,16,0,55.2,55.2,2,1,0,1,0,0,0,0.0,0,,50.0,パナソニックパンサーズ
清水,546,304,24,55.7,51.3,3,15,4,6,0,0,0,0.0,0,,46.7,パナソニックパンサーズ
クビアク,407,212,23,52.1,46.4,6,614,269,157,0,0,0,0.0,0,,56.6,パナソニックパンサーズ
伊賀,0,0,0,,,0,105,51,30,0,0,0,0.0,0,,62.9,パナソニックパンサーズ
久原,345,173,24,50.1,43.2,3,514,206,156,0,0,0,0.0,0,,55.3,パナソニックパンサーズ
山内,241,144,7,59.8,56.8,15,20,10,4,0,0,0,0.0,0,,60.0,パナソニックパンサーズ
大竹,218,114,13,52.3,46.3,3,3,1,1,0,0,0,0.0,0,,50.0,パナソニックパンサーズ
新,4,2,0,50.0,50.0,0,2,0,0,0,0,0,0.0,0,,0.0,パナソニックパンサーズ
今村,45,21,2,46.7,42.2,0,5,1,3,0,0,0,0.0,0,,50.0,パナソニックパンサーズ
小宮,160,92,4,57.5,55.0,7,19,6,5,0,0,0,0.0,0,,44.7,パナソニックパンサーズ
兒玉,31,19,2,61.3,54.8,5,2,0,2,0,0,0,0.0,0,,50.0,パナソニックパンサーズ
永野,0,0,0,,,0,452,224,125,0,0,0,0.0,0,,63.4,パナソニックパンサーズ
渡辺,204,94,9,46.1,41.7,1,242,86,66,0,0,0,0.0,0,,49.2,パナソニックパンサーズ
仲本,6,2,0,33.3,33.3,0,21,10,6,0,0,0,0.0,0,,61.9,パナソニックパンサーズ
専田,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,パナソニックパンサーズ
柳田,545,303,26,55.6,50.8,6,425,117,101,0,0,0,0.0,0,,39.4,サントリーサンバーズ
栗山,145,75,7,51.7,46.9,2,4,2,1,0,0,0,0.0,0,,62.5,サントリーサンバーズ
塩田,209,116,11,55.5,50.2,7,39,18,13,0,0,0,0.0,0,,62.8,サントリーサンバーズ
藤中,320,180,15,56.2,51.6,6,802,344,216,0,0,0,0.0,0,,56.4,サントリーサンバーズ
大宅,13,8,0,61.5,61.5,2,8,0,1,0,0,0,0.0,0,,6.2,サントリーサンバーズ
鶴田,0,0,0,,,0,597,281,183,0,0,0,0.0,0,,62.4,サントリーサンバーズ
小野,181,106,3,58.6,56.9,10,14,4,5,0,0,0,0.0,0,,46.4,サントリーサンバーズ
西田,0,0,0,,,1,2,1,0,0,0,0,0.0,0,,50.0,サントリーサンバーズ
喜入,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,サントリーサンバーズ
加藤,52,28,3,53.8,48.1,6,4,0,2,0,0,0,0.0,0,,25.0,サントリーサンバーズ
秦,21,10,1,47.6,42.9,0,35,13,9,0,0,0,0.0,0,,50.0,サントリーサンバーズ
松林,3,2,0,66.7,66.7,0,0,0,0,0,0,0,0.0,0,,,サントリーサンバーズ
佐藤,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,サントリーサンバーズ
ムセルスキー,697,406,58,58.2,49.9,13,2,0,0,0,0,0,0.0,0,,0.0,サントリーサンバーズ
季,17,10,0,58.8,58.8,1,14,4,2,0,0,0,0.0,0,,35.7,サントリーサンバーズ
小川,9,7,0,77.8,77.8,0,0,0,0,0,0,0,0.0,0,,,サントリーサンバーズ
深津,33,23,0,69.7,69.7,6,9,0,1,0,0,0,0.0,0,,5.6,JTサンダーズ広島
陳,377,191,21,50.7,45.1,7,556,241,134,0,0,0,0.0,0,,55.4,JTサンダーズ広島
エドガー,737,392,45,53.2,47.1,10,0,0,0,0,0,0,0.0,0,,,JTサンダーズ広島
小野寺,401,232,10,57.9,55.4,15,46,24,8,0,0,0,0.0,0,,60.9,JTサンダーズ広島
武智,133,55,12,41.4,32.3,5,205,89,54,0,0,0,0.0,0,,56.6,JTサンダーズ広島
西,79,37,3,46.8,43.0,0,9,6,3,0,0,0,0.0,0,,83.3,JTサンダーズ広島
唐川,0,0,0,,,0,386,172,90,0,0,0,0.0,0,,56.2,JTサンダーズ広島
井上(慎),27,13,3,48.1,37.0,2,17,5,4,0,0,0,0.0,0,,41.2,JTサンダーズ広島
にし,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,JTサンダーズ広島
久原,0,0,0,,,0,7,3,1,0,0,0,0.0,0,,50.0,JTサンダーズ広島
金子,72,31,7,43.1,33.3,1,6,0,2,0,0,0,0.0,0,,16.7,JTサンダーズ広島
熊倉,10,2,2,20.0,0.0,0,1,0,1,0,0,0,0.0,0,,50.0,JTサンダーズ広島
中島,56,35,2,62.5,58.9,1,16,7,1,0,0,0,0.0,0,,46.9,JTサンダーズ広島
合田,3,0,1,0.0,-33.3,0,0,0,0,0,0,0,0.0,0,,,JTサンダーズ広島
井上(航),0,0,0,,,0,165,80,42,0,0,0,0.0,0,,61.2,JTサンダーズ広島
山本,273,117,16,42.9,37.0,2,507,236,122,0,0,0,0.0,0,,58.6,JTサンダーズ広島
八子,76,37,7,48.7,39.5,1,16,3,10,0,0,0,0.0,0,,50.0,JTサンダーズ広島
安永,147,78,7,53.1,48.3,2,13,2,5,0,0,0,0.0,0,,34.6,JTサンダーズ広島
ロジャーズ,1,0,0,0.0,0.0,1,0,0,0,0,0,0,0.0,0,,,JTサンダーズ広島
新井,100,46,8,46.0,38.0,3,213,78,47,0,0,0,0.0,0,,47.7,JTサンダーズ広島
坂下,38,19,1,50.0,47.4,0,70,35,14,0,0,0,0.0,0,,60.0,JTサンダーズ広島
西村,0,0,0,,,0,7,2,3,0,0,0,0.0,0,,50.0,JTサンダーズ広島
関田,20,12,1,60.0,55.0,2,11,0,1,0,0,0,0.0,0,,4.5,堺ブレイザーズ
鵜野,284,136,12,47.9,43.7,6,385,163,96,0,0,0,0.0,0,,54.8,堺ブレイザーズ
松本,308,172,14,55.8,51.3,12,18,7,7,0,0,0,0.0,0,,58.3,堺ブレイザーズ
高野,435,224,23,51.5,46.2,5,781,328,230,0,0,0,0.0,0,,56.7,堺ブレイザーズ
山本,0,0,0,,,0,468,256,114,0,0,0,0.0,0,,66.9,堺ブレイザーズ
ジョン,687,344,66,50.1,40.5,15,7,0,5,0,0,0,0.0,0,,35.7,堺ブレイザーズ
出耒田,292,169,12,57.9,53.8,9,5,0,2,0,0,0,0.0,0,,20.0,堺ブレイザーズ
山﨑,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,堺ブレイザーズ
山崎,35,16,3,45.7,37.1,1,1,0,0,0,0,0,0.0,0,,0.0,堺ブレイザーズ
宮原,59,24,3,40.7,35.6,0,0,0,0,0,0,0,0.0,0,,,堺ブレイザーズ
竹元,30,11,3,36.7,26.7,3,1,1,0,0,0,0,0.0,0,,100.0,堺ブレイザーズ
小池,0,0,0,,,0,20,8,3,0,0,0,0.0,0,,47.5,堺ブレイザーズ
千々木,193,83,8,43.0,38.9,3,53,17,9,0,0,0,0.0,0,,40.6,堺ブレイザーズ
佐川,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,,,堺ブレイザーズ
山口,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,堺ブレイザーズ
樋口,378,185,16,48.9,44.7,12,535,206,125,0,0,0,0.0,0,,50.2,堺ブレイザーズ
堀江,0,0,0,,,0,46,16,10,0,0,0,0.0,0,,45.7,堺ブレイザーズ
梅本,1,0,1,0.0,-100.0,1,0,0,0,0,0,0,0.0,0,,,堺ブレイザーズ
富田,476,243,28,51.1,45.2,7,848,450,211,0,0,0,0.0,0,,65.5,東レアローズ
山口,0,0,0,,,0,653,303,184,0,0,0,0.0,0,,60.5,東レアローズ
星野,205,93,7,45.4,42.0,7,252,106,70,0,0,0,0.0,0,,56.0,東レアローズ
小澤,214,108,8,50.5,46.7,5,155,57,39,0,0,0,0.0,0,,49.4,東レアローズ
富松,96,63,3,65.6,62.5,6,11,7,2,0,0,0,0.0,0,,72.7,東レアローズ
李,229,130,14,56.8,50.7,5,35,22,7,0,0,0,0.0,0,,72.9,東レアローズ
藤井,8,4,3,50.0,12.5,5,9,0,0,0,0,0,0.0,0,,0.0,東レアローズ
酒井,2,2,0,100.0,100.0,1,0,0,0,0,0,0,0.0,0,,,東レアローズ
峯村,14,9,0,64.3,64.3,0,40,15,11,0,0,0,0.0,0,,51.2,東レアローズ
鈴木,34,17,3,50.0,41.2,0,8,6,0,0,0,0,0.0,0,,75.0,東レアローズ
