名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
エドガートーマス,JTサンダーズ広島,6,61,56,15,114,1222,613,68,50.2,44.6,446,243,37,35,408,29,113,127,0,0,0,677,54.5,5.38,0.31,8.0,
クビアクミハウ,パナソニックパンサーズ,13,84,35,26,115,698,354,41,50.7,44.8,95,46,9,46,453,25,77,157,684,303,179,425,48.4,3.08,0.4,9.9,57.4
クレクバルトシュ,ウルフドッグス名古屋,3,75,40,23,115,1460,818,97,56.0,49.4,579,339,47,53,451,44,134,141,10,2,2,915,58.5,7.11,0.46,10.1,30.0
ジョンウェント,堺ブレイザーズ,24,67,64,17,122,1039,505,110,48.6,38.0,395,174,63,56,430,25,103,108,8,0,5,586,44.1,4.14,0.46,6.1,31.2
ストックトンカーティス,大分三好ヴァイセアドラー,11,24,103,3,120,1107,492,103,44.4,35.1,451,191,62,35,412,25,110,118,4,1,0,552,42.4,4.1,0.29,6.6,25.0
ヌルムルキリヴァン,VC長野トライデンツ,10,33,95,4,128,1489,702,96,47.1,40.7,698,356,64,50,465,34,106,133,6,1,1,786,51.0,5.48,0.39,8.8,25.0
バグナスブライアン,大分三好ヴァイセアドラー,1,24,88,3,99,762,398,58,52.2,44.6,186,108,19,34,320,16,79,69,702,218,187,448,58.1,4.02,0.34,4.2,44.4
パダルクリスティアン,東レアローズ,4,62,59,17,121,1390,734,120,52.8,44.2,485,254,60,30,479,40,135,175,2,0,0,804,52.4,6.07,0.25,10.4,0.0
フォンテレスフェリペ,ジェイテクトSTINGS,6,72,50,21,113,703,345,51,49.1,41.8,101,51,11,39,388,18,88,104,764,308,206,402,50.5,3.05,0.35,5.7,53.8
プレモビッチピーター,FC東京,20,45,82,8,115,989,448,62,45.3,39.0,455,220,47,33,326,19,75,81,2,0,0,500,48.4,3.9,0.29,6.3,0.0
ムセルスキードミトリー,サントリーサンバーズ,13,87,23,28,105,1126,635,93,56.4,48.1,482,255,54,58,424,57,109,148,3,0,0,750,52.9,6.05,0.55,15.7,0.0
ユンボンウ,ウルフドッグス名古屋,9,84,40,26,18,14,4,2,28.6,14.3,0,0,0,8,28,3,8,3,2,0,0,15,,0.22,0.44,6.2,0.0
ロジャーズ海,JTサンダーズ広島,21,18,14,4,22,1,0,0,0.0,0.0,0,0,0,1,31,0,5,2,0,0,0,1,,0.0,0.05,-2.4,
中島健太,JTサンダーズ広島,4,41,30,11,38,64,38,2,59.4,56.2,0,0,0,4,92,6,13,17,17,8,1,48,,1.0,0.11,7.6,50.0
中村竜輔,VC長野トライデンツ,4,34,101,4,121,208,93,8,44.7,40.9,0,0,0,54,360,8,36,51,24,11,1,155,,0.77,0.45,3.3,47.9
久保山尚,ジェイテクトSTINGS,16,78,53,23,114,9,7,0,77.8,77.8,0,0,0,20,357,5,14,61,9,0,0,32,,0.06,0.18,4.7,0.0
久保田雅人,大分三好ヴァイセアドラー,13,24,103,3,90,0,0,0,,,0,0,0,0,0,0,0,0,411,165,106,0,,0.0,0.0,,53.0
久原大輝,JTサンダーズ広島,11,25,32,6,34,0,0,0,,,0,0,0,0,44,0,4,9,7,3,1,0,,0.0,0.0,2.8,50.0
久原翼,パナソニックパンサーズ,7,86,35,26,100,490,243,37,49.6,42.0,51,31,3,30,349,12,25,105,537,216,160,285,60.8,2.43,0.3,9.2,55.1
井上仁,FC東京,5,33,70,5,31,73,34,2,46.6,43.8,0,0,0,9,75,5,9,18,12,7,1,48,,1.1,0.29,9.7,62.5
井上慎一朗,JTサンダーズ広島,5,39,44,9,34,38,17,4,44.7,34.2,6,2,1,2,43,3,15,6,16,5,4,22,33.3,0.5,0.06,1.7,43.8
井上航,JTサンダーズ広島,10,58,61,14,56,0,0,0,,,0,0,0,0,0,0,0,0,166,80,42,0,,0.0,0.0,,60.8
井口直紀,大分三好ヴァイセアドラー,21,24,97,3,93,6,2,0,33.3,33.3,0,0,0,3,243,2,14,39,4,0,0,7,,0.02,0.03,3.4,0.0
今村貴彦,パナソニックパンサーズ,9,75,34,23,35,88,45,3,51.1,47.7,23,9,2,1,51,1,6,14,32,10,11,47,39.1,1.29,0.03,5.9,48.4
仲本賢優,パナソニックパンサーズ,8,66,27,20,14,60,30,3,50.0,45.0,4,3,0,3,36,0,11,10,64,31,16,33,75.0,2.14,0.21,-0.7,60.9
伊藤樹,VC長野トライデンツ,6,29,94,3,14,19,9,0,47.4,47.4,0,0,0,0,10,0,4,3,21,3,5,9,,0.64,0.0,-2.5,26.2
伊賀亮平,パナソニックパンサーズ,16,95,41,29,128,0,0,0,,,0,0,0,0,0,0,0,0,105,51,30,0,,0.0,0.0,,62.9
伏見大和,ジェイテクトSTINGS,3,78,53,23,78,123,51,7,41.5,35.8,0,0,0,23,181,3,26,40,16,6,5,77,,0.65,0.29,3.6,53.1
佐川翔,堺ブレイザーズ,8,68,73,17,38,1,0,0,0.0,0.0,0,0,0,2,30,1,2,4,0,0,0,3,,0.0,0.05,5.0,
佐藤望実,FC東京,19,47,88,8,126,634,261,43,41.2,34.4,56,30,5,30,418,24,103,107,484,192,116,315,53.6,2.07,0.24,6.0,51.7
佐藤謙次,サントリーサンバーズ,21,97,30,31,68,0,0,0,,,0,0,0,0,87,1,12,24,0,0,0,1,,0.0,0.0,4.6,
傳田亮太,ウルフドッグス名古屋,11,30,13,9,28,64,39,3,60.9,56.2,0,0,0,14,73,2,10,11,3,3,0,55,,1.39,0.5,3.1,100.0
兒玉康成,パナソニックパンサーズ,21,89,41,27,30,52,30,5,57.7,48.1,0,0,0,18,80,1,5,12,4,0,3,49,,1.0,0.6,3.4,37.5
八子大輔,JTサンダーズ広島,7,42,42,10,30,104,50,10,48.1,38.5,19,7,6,3,45,1,10,9,16,3,10,54,36.8,1.67,0.1,1.7,50.0
内山正平,ウルフドッグス名古屋,4,3,0,1,3,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
出耒田敬,堺ブレイザーズ,7,62,62,16,122,360,210,13,58.3,54.7,0,0,0,48,332,10,63,74,10,3,3,268,,1.72,0.39,3.8,45.0
前田一誠,ウルフドッグス名古屋,5,81,40,25,121,26,9,2,34.6,26.9,0,0,0,22,511,4,22,103,10,0,0,35,,0.07,0.18,4.7,0.0
加藤久典,サントリーサンバーズ,14,94,30,30,47,73,41,4,56.2,50.7,0,0,0,17,136,3,8,29,5,0,3,61,,0.87,0.36,6.1,30.0
勝将哉,大分三好ヴァイセアドラー,4,24,103,3,43,215,93,9,43.3,39.1,25,12,1,5,120,6,16,11,265,74,71,104,48.0,2.16,0.12,4.0,41.3
勝岡将斗,ウルフドッグス名古屋,23,13,4,4,5,0,0,0,,,0,0,0,0,6,0,1,3,0,0,0,0,,0.0,0.0,8.3,
千々木駿介,堺ブレイザーズ,10,60,67,15,101,267,111,12,41.6,37.1,81,42,7,20,121,1,19,34,53,17,9,132,51.9,1.1,0.2,3.9,40.6
古賀健太,大分三好ヴァイセアドラー,18,24,103,3,103,204,92,17,45.1,36.8,61,33,8,5,68,4,24,12,0,0,0,101,54.1,0.89,0.05,1.5,
古賀太一郎,FC東京,10,47,88,8,135,0,0,0,,,0,0,0,0,0,0,0,0,652,345,157,0,,0.0,0.0,,65.0
古賀幸一郎,ウルフドッグス名古屋,10,3,0,1,3,0,0,0,,,0,0,0,0,0,0,0,0,20,10,3,0,,0.0,0.0,,57.5
