チーム,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率
FC東京,2683,1287,171,48.0,41.6,77,2302,1042,583,0,0,0,0.0,0,0.0,57.9
JTサンダーズ広島,2563,1308,145,51.0,45.4,56,2249,983,542,0,0,0,0.0,0,0.0,55.8
VC長野トライデンツ,2749,1285,171,46.7,40.5,63,2364,968,580,0,0,0,0.0,0,0.0,53.2
ウルフドッグス名古屋,2289,1277,116,55.8,50.7,55,1996,948,471,0,0,0,0.0,0,0.0,59.3
サントリーサンバーズ,2212,1251,124,56.6,50.9,54,1946,784,533,0,0,0,0.0,0,0.0,54.0
ジェイテクトSTINGS,2306,1190,150,51.6,45.1,65,2032,864,565,0,0,0,0.0,0,0.0,56.4
パナソニックパンサーズ,2261,1207,108,53.4,48.6,52,2024,868,562,0,0,0,0.0,0,0.0,56.8
堺ブレイザーズ,2723,1376,162,50.5,44.6,69,2331,1002,602,0,0,0,0.0,0,0.0,55.9
大分三好ヴァイセアドラー,2588,1240,192,47.9,40.5,44,2266,846,574,0,0,0,0.0,0,0.0,50.0
東レアローズ,2449,1303,150,53.2,47.1,53,2133,1012,561,0,0,0,0.0,0,0.0,60.6
