試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,1,L,鶴田大樹,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,13,11,71.2,0,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,3,,小野遥輝,4,■,■,■,■,nan,11,4,0,36.4,36.4,1.00,0,0,0,-,4,1.00,11,1,3,0,2.3,0,0,0,-,9,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,4,,鳥飼亜斗夢,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,5,,松林憲太郎,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,8,,柳田将洋,4,■,■,■,■,nan,39,17,2,43.6,38.5,4.25,11,7,0,63.6,2,0.50,19,4,3,6,25.0,15,3,4,33.3,23,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,9,,大宅真樹,4,■,■,■,■,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,1,0.25,21,0,6,5,-1.2,0,0,0,-,2,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,10,,藤中謙也,4,■,■,■,■,nan,24,10,3,41.7,29.2,2.50,5,4,0,80.0,1,0.25,15,0,1,0,-1.7,32,16,4,56.2,11,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,11,,秦耕介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,12,,塩田達也,4,■,■,■,■,nan,9,5,0,55.6,55.6,1.25,0,0,0,-,1,0.25,13,0,3,2,-1.9,0,0,0,-,6,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,14,,加藤久典,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,15,,喜入祥充,2,nan,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,4,1,0,0,25.0,0,0,0,-,1,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,19,,栗山雅史,4,■,■,■,■,nan,43,22,3,51.2,44.2,5.50,18,13,1,72.2,1,0.25,20,1,1,1,5.0,0,0,0,-,24,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,20,,西田寛基,3,□,□,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,21,,佐藤謙次,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2020-10-17,サントリーサンバーズ,ウルフドッグス名古屋,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,128,59,8,46.1,39.8,14.75,34,24,1,70.6,10,2.50,106,7,17,15,6.1,73,32,19,56.8,76,139,54,9,38.8,9,2.25,5.5,64.0
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,1,,山田脩造,3,■,■,nan,■,nan,11,3,2,27.3,9.1,1.00,4,1,2,25.0,0,-,6,0,2,1,-4.2,8,6,1,81.2,3,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,2,,山近哲,3,■,■,■,nan,nan,3,2,0,66.7,66.7,0.67,0,0,0,-,2,0.67,8,0,0,0,0.0,0,0,0,-,4,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,3,,クレクバルトシュ,4,□,□,■,■,nan,47,20,5,42.6,31.9,5.00,17,7,4,41.2,3,0.75,18,6,3,6,37.5,0,0,0,-,29,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,5,,前田一誠,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,2,0.50,14,0,0,3,5.4,1,0,0,0.0,2,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,6,,近裕崇,4,■,■,■,■,nan,6,4,0,66.7,66.7,1.00,0,0,0,-,1,0.25,18,0,4,2,-2.8,1,1,0,100.0,5,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,7,,白岩直也,2,nan,□,■,nan,nan,6,2,0,33.3,33.3,1.00,0,0,0,-,0,-,8,0,2,0,-6.2,8,3,3,56.2,2,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,9,,ユンボンウ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,11,,傳田亮太,1,nan,nan,nan,■,nan,3,1,0,33.3,33.3,1.00,0,0,0,-,0,-,3,0,2,0,-16.7,0,0,0,-,1,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,14,,椿山竜介,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,0,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,20,,川口太一,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,0,1,50.0,0,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,21,,永露元稀,2,□,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0,0,-,0,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,22,,高梨健太,4,■,■,■,■,nan,45,18,1,40.0,37.8,4.50,5,2,0,40.0,1,0.25,15,0,5,5,0.0,37,16,13,60.8,19,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,24,L,小川智大,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,15,1,77.5,0,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,26,,山崎彰都,2,■,■,nan,nan,nan,18,4,1,22.2,16.7,2.00,2,0,0,0.0,0,-,3,0,1,1,0.0,10,2,5,45.0,4,,,,,,,,
2020-10-17,ウルフドッグス名古屋,サントリーサンバーズ,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,139,54,9,38.8,32.4,13.50,28,10,6,35.7,9,2.25,96,6,21,18,5.5,86,43,24,64.0,69,128,59,8,46.1,10,2.50,6.1,56.8
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,1,,松本慶彦,2,■,■,nan,nan,nan,6,4,0,66.7,66.7,2.00,0,0,0,-,0,-,9,0,1,2,2.8,0,0,0,-,4,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,3,,宮原貴人,4,□,□,■,□,nan,10,3,1,30.0,20.0,0.75,5,1,1,20.0,0,-,4,1,1,1,25.0,0,0,0,-,4,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,4,,高野直哉,4,■,■,■,■,nan,21,11,1,52.4,47.6,2.75,5,2,0,40.0,1,0.25,19,1,2,10,15.8,38,13,17,56.6,13,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,6,,山崎貴矢,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,7,,出耒田敬,4,■,■,■,■,nan,13,7,1,53.8,46.2,1.75,0,0,0,-,5,1.25,11,0,2,3,2.3,0,0,0,-,12,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,8,,佐川翔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,10,,千々木駿介,3,nan,□,□,■,nan,9,5,0,55.6,55.6,1.67,3,1,0,33.3,1,0.33,6,0,0,4,16.7,1,1,0,100.0,6,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,11,,関田誠大,4,■,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,0,-,11,0,1,3,4.5,0,0,0,-,1,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,12,,小池勇輝,3,nan,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,3,0,-25.0,0,0,0,-,0,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,14,,山口頌平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,20,L,山本智大,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,8,9,65.8,0,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,21,,竹元裕太郎,3,nan,□,■,■,nan,8,3,0,37.5,37.5,1.00,0,0,0,-,0,-,9,0,0,0,0.0,0,0,0,-,3,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,23,,鵜野幸也,3,■,■,■,nan,nan,19,5,2,26.3,15.8,1.67,7,0,2,0.0,2,0.67,10,0,2,5,7.5,13,6,4,61.5,7,,,,,,,,
2020-10-17,堺ブレイザーズ,VC長野トライデンツ,3,1,1,24,,ジョンウェント,4,■,■,□,■,nan,36,16,5,44.4,30.6,4.00,11,6,3,54.5,1,0.25,15,2,3,2,11.7,1,0,1,50.0,19,,,,,,,,
