Unnamed: 0,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率,チーム
兒玉,1,1,0,100.0,100.0,0,1,0,1,4,1,0,2.0,4,0.5,50.0,パナソニックパンサーズ
永野,0,0,0,,,0,28,11,11,0,0,0,0.0,0,,58.9,パナソニックパンサーズ
渡辺,16,10,0,62.5,62.5,1,21,6,7,18,0,3,3.0,15,0.2,45.2,パナソニックパンサーズ
仲本,0,0,0,,,0,1,0,0,0,0,0,0.0,0,,0.0,パナソニックパンサーズ
専田,0,0,0,,,0,0,0,0,2,0,0,1.0,1,1.0,,パナソニックパンサーズ
柳田,42,25,1,59.5,57.1,1,37,9,9,32,1,6,8.0,27,0.3,36.5,サントリーサンバーズ
栗山,12,5,2,41.7,25.0,0,3,1,1,8,0,0,1.0,6,0.17,50.0,サントリーサンバーズ
塩田,13,10,0,76.9,76.9,3,6,2,3,14,1,2,9.0,12,0.75,58.3,サントリーサンバーズ
藤中,27,16,0,59.3,59.3,3,59,28,18,22,1,2,7.0,18,0.39,62.7,サントリーサンバーズ
大宅,1,1,0,100.0,100.0,0,2,0,1,26,0,6,7.0,18,0.39,25.0,サントリーサンバーズ
鶴田,0,0,0,,,0,49,19,18,0,0,0,0.0,0,,57.1,サントリーサンバーズ
小野,12,8,0,66.7,66.7,4,1,0,0,9,1,1,2.0,8,0.25,0.0,サントリーサンバーズ
西田,0,0,0,,,0,1,0,0,21,2,2,6.0,15,0.4,0.0,サントリーサンバーズ
喜入,0,0,0,,,0,0,0,0,6,0,1,2.0,4,0.5,,サントリーサンバーズ
加藤,4,1,1,25.0,0.0,2,0,0,0,10,0,0,5.0,8,0.62,,サントリーサンバーズ
秦,2,2,0,100.0,100.0,0,3,0,1,2,0,1,0.0,2,0.0,16.7,サントリーサンバーズ
松林,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0.0,0,,,サントリーサンバーズ
佐藤,0,0,0,,,0,0,0,0,16,0,5,2.0,14,0.14,,サントリーサンバーズ
ムセルスキー,118,62,16,52.5,39.0,4,0,0,0,30,5,5,10.0,21,0.48,,サントリーサンバーズ
季,2,0,0,0.0,0.0,0,2,0,0,4,0,3,2.0,4,0.5,0.0,サントリーサンバーズ
小川,1,1,0,100.0,100.0,0,0,0,0,0,0,0,0.0,0,,,サントリーサンバーズ
深津,3,0,0,0.0,0.0,0,1,0,0,21,0,1,6.0,16,0.38,0.0,JTサンダーズ広島
陳,44,20,1,45.5,43.2,2,39,22,11,22,2,2,6.0,15,0.4,70.5,JTサンダーズ広島
エドガー,71,39,4,54.9,49.3,2,0,0,0,19,0,5,2.0,14,0.14,,JTサンダーズ広島
小野寺,30,20,1,66.7,63.3,4,2,0,0,19,1,2,3.0,17,0.18,0.0,JTサンダーズ広島
武智,9,4,2,44.4,22.2,0,19,6,9,13,0,2,4.0,11,0.36,55.3,JTサンダーズ広島
西,11,5,2,45.5,27.3,0,1,0,1,5,0,0,0.0,5,0.0,50.0,JTサンダーズ広島
唐川,0,0,0,,,0,28,13,4,0,0,0,0.0,0,,53.6,JTサンダーズ広島
井上(慎),7,3,0,42.9,42.9,0,0,0,0,6,0,4,0.0,6,0.0,,JTサンダーズ広島
にし,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,JTサンダーズ広島
久原,0,0,0,,,0,0,0,0,9,0,0,3.0,6,0.5,,JTサンダーズ広島
金子,2,0,0,0.0,0.0,0,1,0,0,7,0,0,1.0,6,0.17,0.0,JTサンダーズ広島
熊倉,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,JTサンダーズ広島
中島,5,2,0,40.0,40.0,0,0,0,0,9,0,4,2.0,7,0.29,,JTサンダーズ広島
合田,0,0,0,,,0,0,0,0,6,1,1,3.0,4,0.75,,JTサンダーズ広島
井上(航),0,0,0,,,0,6,1,2,0,0,0,0.0,0,,33.3,JTサンダーズ広島
山本,20,4,0,20.0,20.0,0,29,16,6,19,0,5,3.0,17,0.18,65.5,JTサンダーズ広島
八子,6,1,2,16.7,-16.7,0,0,0,0,3,0,2,0.0,3,0.0,,JTサンダーズ広島
安永,7,5,0,71.4,71.4,0,0,0,0,1,0,1,0.0,1,0.0,,JTサンダーズ広島
ロジャーズ,0,0,0,,,0,0,0,0,2,0,0,0.0,2,0.0,,JTサンダーズ広島
新井,7,1,1,14.3,0.0,0,11,3,2,8,1,2,5.0,6,0.83,36.4,JTサンダーズ広島
坂下,1,0,1,0.0,-100.0,0,9,5,2,6,0,1,2.0,3,0.67,66.7,JTサンダーズ広島
西村,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,JTサンダーズ広島
関田,2,0,0,0.0,0.0,0,2,0,0,42,1,4,12.0,34,0.35,0.0,堺ブレイザーズ
鵜野,30,15,1,50.0,46.7,0,21,9,6,15,0,3,3.0,11,0.27,57.1,堺ブレイザーズ
松本,19,12,0,63.2,63.2,0,2,1,1,21,1,0,5.0,19,0.26,75.0,堺ブレイザーズ
高野,53,23,3,43.4,37.7,1,48,18,21,22,1,4,11.0,18,0.61,59.4,堺ブレイザーズ
山本,0,0,0,,,0,40,21,9,0,0,0,0.0,0,,63.8,堺ブレイザーズ
ジョン,77,42,6,54.5,46.8,4,0,0,0,26,2,6,5.0,18,0.28,,堺ブレイザーズ
出耒田,19,14,1,73.7,68.4,2,0,0,0,13,0,4,0.0,13,0.0,,堺ブレイザーズ
山﨑,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,堺ブレイザーズ
山崎,5,3,0,60.0,60.0,0,0,0,0,12,1,5,5.0,6,0.83,,堺ブレイザーズ
宮原,3,2,0,66.7,66.7,0,0,0,0,2,0,0,0.0,0,,,堺ブレイザーズ
竹元,0,0,0,,,1,0,0,0,0,0,0,0.0,0,,,堺ブレイザーズ
小池,0,0,0,,,0,9,4,0,11,0,4,2.0,10,0.2,44.4,堺ブレイザーズ
千々木,18,10,3,55.6,38.9,3,3,1,0,4,0,2,0.0,3,0.0,33.3,堺ブレイザーズ
佐川,0,0,0,,,0,0,0,0,4,0,0,0.0,4,0.0,,堺ブレイザーズ
山口,0,0,0,,,0,0,0,0,25,0,1,6.0,16,0.38,,堺ブレイザーズ
樋口,45,18,3,40.0,33.3,1,48,22,10,28,1,3,9.0,20,0.45,56.2,堺ブレイザーズ
堀江,0,0,0,,,0,5,2,0,1,0,1,0.0,1,0.0,40.0,堺ブレイザーズ
梅本,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,堺ブレイザーズ
富田,33,15,4,45.5,33.3,5,55,34,10,30,3,7,13.0,20,0.65,70.9,東レアローズ
山口,0,0,0,,,0,52,23,15,0,0,0,0.0,0,,58.7,東レアローズ
