名前,年月,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
阿部誠樹,2020-10,サフィルヴァ北海道,6,3,4,1,7,52,17,6,32.7,21.2,11,3,1,1,34,1,3,11,53,31,12,19,27.3,2.43,0.14,8.8,69.8
阿部誠樹,2020-11,サフィルヴァ北海道,6,5,12,1,17,102,38,7,37.3,30.4,7,1,2,3,68,4,25,22,102,34,25,45,14.3,2.24,0.18,4.8,45.6
阿部誠樹,2020-12,サフィルヴァ北海道,6,1,6,0,7,51,28,5,54.9,45.1,9,3,2,0,26,0,9,9,48,24,11,28,33.3,4.0,0.0,0.0,61.5
阿部誠樹,2021-02,サフィルヴァ北海道,6,6,7,2,12,73,34,3,46.6,42.5,7,4,1,2,43,2,13,9,73,33,24,38,57.1,2.83,0.17,2.3,61.6
阿部誠樹,2021-03,サフィルヴァ北海道,6,1,6,0,7,58,28,4,48.3,41.4,6,3,1,1,30,0,11,5,87,34,36,29,50.0,4.0,0.14,-5.0,59.8
青島賢司,2020-10,サフィルヴァ北海道,1,3,4,1,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
青島賢司,2020-11,サフィルヴァ北海道,1,0,6,0,3,0,0,0,,,0,0,0,0,6,0,0,0,0,0,0,0,,0.0,0.0,0.0,
青島賢司,2020-12,サフィルヴァ北海道,1,1,3,0,3,0,0,0,,,0,0,0,0,3,0,0,2,0,0,0,0,,0.0,0.0,16.7,
青島賢司,2021-02,サフィルヴァ北海道,1,3,1,1,2,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
青島賢司,2021-03,サフィルヴァ北海道,1,1,6,0,2,0,0,0,,,0,0,0,0,3,0,0,1,0,0,0,0,,0.0,0.0,8.3,
高井大輝,2020-10,長野GaRons,14,4,3,1,6,0,0,0,,,0,0,0,0,26,0,1,5,0,0,0,0,,0.0,0.0,3.8,
高井大輝,2020-11,長野GaRons,14,16,6,5,18,2,0,0,0.0,0.0,0,0,0,0,35,1,3,13,0,0,0,1,,0.0,0.0,10.0,
高井大輝,2020-12,長野GaRons,14,0,3,0,3,0,0,0,,,0,0,0,0,7,0,1,3,1,0,0,0,,0.0,0.0,7.1,0.0
高井大輝,2021-01,長野GaRons,14,1,6,0,4,1,0,0,0.0,0.0,0,0,0,0,12,1,0,2,0,0,0,1,,0.0,0.0,12.5,
高井大輝,2021-02,長野GaRons,14,10,19,2,18,1,1,0,100.0,100.0,0,0,0,0,33,0,1,7,0,0,0,1,,0.06,0.0,4.5,
高杉優希,2021-01,東京ヴェルディ,21,0,6,0,5,4,2,0,50.0,50.0,0,0,0,0,18,0,2,4,0,0,0,2,,0.4,0.0,2.8,
高瀬太一,2020-10,長野GaRons,9,4,3,1,7,47,22,9,46.8,27.7,16,9,4,2,18,0,2,6,0,0,0,24,56.2,3.14,0.29,5.6,
高瀬太一,2020-11,長野GaRons,9,16,6,5,22,129,57,12,44.2,34.9,32,17,1,5,61,5,13,19,0,0,0,67,53.1,2.59,0.23,10.7,
高瀬太一,2020-12,長野GaRons,9,0,3,0,3,34,18,3,52.9,44.1,12,8,1,1,9,0,4,3,0,0,0,19,66.7,6.0,0.33,-2.8,
高瀬太一,2021-01,長野GaRons,9,1,6,0,7,44,14,9,31.8,11.4,10,1,3,1,17,0,8,6,0,0,0,15,10.0,2.0,0.14,-2.9,
高瀬太一,2021-02,長野GaRons,9,10,19,2,29,212,95,32,44.8,29.7,70,29,14,7,100,9,38,23,0,0,0,111,41.4,3.28,0.24,5.2,
鰐川怜児,2020-10,長野GaRons,2,4,3,1,7,20,9,1,45.0,40.0,0,0,0,4,21,0,8,3,1,0,1,13,,1.29,0.57,-6.0,50.0
鰐川怜児,2020-11,長野GaRons,2,16,6,5,22,48,28,4,58.3,50.0,0,0,0,16,64,9,21,11,2,1,1,53,,1.27,0.73,10.2,75.0
鰐川怜児,2020-12,長野GaRons,2,0,3,0,3,7,5,1,71.4,57.1,0,0,0,0,5,0,3,0,1,1,0,5,,1.67,0.0,-15.0,100.0
鰐川怜児,2021-01,長野GaRons,2,1,6,0,7,30,17,1,56.7,53.3,0,0,0,3,17,1,4,2,0,0,0,21,,2.43,0.43,2.9,
鰐川怜児,2021-02,長野GaRons,2,7,17,1,24,63,24,8,38.1,25.4,0,0,0,10,68,1,16,12,6,2,1,35,,1.0,0.42,0.0,41.7
鳥原大地,2021-01,ヴィアティン三重,22,1,3,0,4,29,7,3,24.1,13.8,2,0,0,0,13,1,0,0,38,19,11,8,0.0,1.75,0.0,7.7,64.5
鳥原大地,2021-02,ヴィアティン三重,22,1,3,0,4,36,16,4,44.4,33.3,1,0,1,1,15,0,0,2,38,23,8,17,0.0,4.0,0.25,3.3,71.1
黒木隆生,2020-11,きんでんトリニティーブリッツ,19,4,18,0,5,9,4,0,44.4,44.4,0,0,0,1,8,0,6,1,0,0,0,5,,0.8,0.2,-15.6,
黒木隆生,2020-12,きんでんトリニティーブリッツ,19,3,4,1,3,13,8,0,61.5,61.5,0,0,0,2,6,0,4,1,1,1,0,10,,2.67,0.67,-12.5,100.0
