名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブ効果,サーブ効果率,サーブレシーブ成功率,チーム
伊藤,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,0.0,,,東レアローズ
井上(美),4,3,0,75.0,75.0,2,0,0,0,18,0,1,10.0,17,0.59,7.0,8.8,,久光スプリングス
井上(愛),60,21,2,35.0,31.7,2,17,8,4,15,0,1,7.0,9,0.78,9.0,14.3,58.8,久光スプリングス
戸江,0,0,0,,,0,17,7,4,0,0,0,0.0,0,,0.0,,52.9,久光スプリングス
中川,0,0,0,,,0,17,4,6,5,0,0,0.0,2,0.0,2.0,10.0,41.2,久光スプリングス
石井,42,14,2,33.3,28.6,3,39,17,10,16,0,1,4.0,12,0.33,5.0,6.7,56.4,久光スプリングス
荒木,6,1,0,16.7,16.7,1,0,0,0,0,0,0,0.0,0,,0.0,,,久光スプリングス
濵松,6,2,0,33.3,33.3,0,0,0,0,0,0,0,0.0,0,,0.0,,,久光スプリングス
座安,0,0,0,,,0,14,4,6,0,0,0,0.0,0,,0.0,,50.0,久光スプリングス
加藤,0,0,0,,,0,0,0,0,10,1,0,3.0,6,0.5,4.0,18.2,,久光スプリングス
栄,0,0,0,,,0,0,0,0,19,1,0,6.0,10,0.6,5.0,11.2,,久光スプリングス
野本,57,21,3,36.8,31.6,3,13,4,4,18,0,1,7.0,13,0.54,7.0,8.8,46.2,久光スプリングス
岩坂,1,1,0,100.0,100.0,0,0,0,0,4,0,0,2.0,2,1.0,0.0,0.0,,久光スプリングス
長岡,16,9,0,56.2,56.2,0,0,0,0,4,0,0,1.0,1,1.0,1.0,6.2,,久光スプリングス
小島,0,0,0,,,0,0,0,0,4,0,1,1.0,2,0.5,2.0,8.3,,久光スプリングス
アキンラデウォ,32,13,2,40.6,34.4,3,0,0,0,22,3,1,8.0,12,0.67,11.0,23.9,,久光スプリングス
今村,11,3,1,27.3,18.2,0,6,2,2,3,0,0,2.0,1,2.0,2.0,16.7,50.0,久光スプリングス
白澤,0,0,0,,,0,0,0,0,3,1,0,1.0,1,1.0,1.0,31.2,,久光スプリングス
池谷,0,0,0,,,0,9,3,2,0,0,0,0.0,0,,0.0,,44.4,久光スプリングス
平山,0,0,0,,,0,0,0,0,8,1,0,2.0,3,0.67,5.0,25.0,,久光スプリングス
小島,0,0,0,,,0,25,13,7,0,0,0,0.0,0,,0.0,,66.0,NECレッドロケッツ
曽我,15,4,1,26.7,20.0,0,19,4,6,14,0,0,2.0,10,0.2,8.0,14.3,36.8,NECレッドロケッツ
山田,12,5,1,41.7,33.3,5,2,0,0,12,1,0,3.0,8,0.38,6.0,19.2,0.0,NECレッドロケッツ
古賀,77,36,2,46.8,44.2,5,40,22,8,18,1,0,4.0,11,0.36,10.0,18.4,65.0,NECレッドロケッツ
島村,25,15,1,60.0,56.0,0,3,2,1,11,0,0,4.0,8,0.5,6.0,13.6,83.3,NECレッドロケッツ
廣瀬,4,1,0,25.0,25.0,1,0,0,0,0,0,0,0.0,0,,0.0,,,NECレッドロケッツ
