チーム,年月,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
久光スプリングス,2021-01,173,154,154,42,198,819,307,45,37.5,32.0,40,9,6,64,489,18,32,144,451,191,114,389,22.5,1.55,0.32,9.4,55.0
久光スプリングス,2021-02,184,70,56,14,85,372,129,19,34.7,29.6,23,7,2,26,197,7,12,57,169,82,40,162,30.4,1.52,0.31,9.3,60.4
埼玉上尾メディックス,2020-10,182,126,140,28,171,825,275,38,33.3,28.7,72,21,4,33,410,19,31,121,386,165,86,327,29.2,1.61,0.19,10.1,53.9
埼玉上尾メディックス,2020-11,185,140,154,42,193,907,331,45,36.5,31.5,76,18,7,36,501,16,47,135,432,195,102,383,23.7,1.72,0.19,7.6,56.9
埼玉上尾メディックス,2020-12,166,56,56,14,71,396,139,16,35.1,31.1,48,18,4,13,185,4,12,37,176,112,27,156,37.5,1.96,0.18,5.5,71.3
埼玉上尾メディックス,2021-01,152,126,56,42,119,520,199,18,38.3,34.8,60,18,6,33,322,14,31,103,248,112,64,246,30.0,1.67,0.28,9.9,58.1
埼玉上尾メディックス,2021-02,152,126,28,42,97,477,199,16,41.7,38.4,40,11,4,20,270,9,23,71,230,95,64,228,27.5,2.05,0.21,7.8,55.2
岡山シーガルズ,2020-10,248,98,98,28,139,607,217,17,35.7,32.9,9,4,0,21,307,2,12,52,273,141,48,240,44.4,1.56,0.15,3.9,60.4
岡山シーガルズ,2020-11,292,224,168,70,290,1237,457,52,36.9,32.7,23,3,2,50,646,14,13,143,570,264,121,521,13.0,1.58,0.17,7.2,56.9
岡山シーガルズ,2020-12,262,14,84,0,72,315,110,16,34.9,29.8,8,3,0,13,149,2,2,22,169,104,16,125,37.5,1.53,0.18,4.7,66.3
岡山シーガルズ,2021-01,337,168,84,56,192,765,278,34,36.3,31.9,13,3,2,30,414,12,23,108,326,153,63,320,23.1,1.45,0.16,8.0,56.6
岡山シーガルズ,2021-02,248,42,126,0,126,526,167,27,31.7,26.6,1,0,0,18,239,7,8,62,258,96,62,192,0.0,1.33,0.14,8.6,49.2
日立リヴァーレ,2020-10,148,84,140,28,136,611,238,45,39.0,31.6,39,13,3,30,340,10,36,123,312,137,74,278,33.3,1.75,0.22,9.3,55.8
日立リヴァーレ,2020-11,134,112,280,14,256,1136,381,82,33.5,26.3,60,10,6,52,579,27,57,178,603,282,147,460,16.7,1.49,0.2,9.9,59.0
日立リヴァーレ,2020-12,140,56,42,14,65,275,90,22,32.7,24.7,15,6,1,22,152,11,9,41,143,66,42,123,40.0,1.38,0.34,12.5,60.8
日立リヴァーレ,2021-01,151,84,126,14,145,647,222,35,34.3,28.9,29,6,1,41,346,17,17,113,329,146,86,280,20.7,1.53,0.28,11.8,57.4
日立リヴァーレ,2021-02,140,56,154,14,154,574,207,33,36.1,30.3,32,7,3,32,304,14,37,89,314,151,66,253,21.9,1.34,0.21,8.9,58.6
東レアローズ,2020-10,120,168,0,56,113,452,198,17,43.8,40.0,46,16,6,31,295,15,33,105,194,91,52,244,34.8,1.75,0.27,11.2,60.3
東レアローズ,2020-11,120,294,98,98,257,1036,444,46,42.9,38.4,107,31,6,46,645,33,47,180,501,252,112,523,29.0,1.73,0.18,10.3,61.5
東レアローズ,2020-12,120,84,14,28,70,278,113,8,40.6,37.8,27,9,1,15,171,4,19,37,116,42,35,132,33.3,1.61,0.21,5.0,51.3
東レアローズ,2021-01,117,210,28,70,152,645,269,33,41.7,36.6,77,32,8,41,398,25,41,94,328,165,68,335,41.6,1.77,0.27,9.6,60.7
東レアローズ,2021-02,117,126,14,42,96,368,162,20,44.0,38.6,41,16,2,27,250,13,15,82,183,61,61,202,39.0,1.69,0.28,11.9,50.0
