名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
遠藤彩萌,岡山シーガルズ,13,5,10,4,2,40.0,20.0,0,0,0,0,1,0,0,0,0,0,0,,0.8,0.0,0.0,
野中瑠衣,日立リヴァーレ,19,72,270,89,20,33.0,25.6,16,4,1,10,207,9,15,80,372,172,92,25.0,1.24,0.14,12.2,58.6
野呂加南子,東レアローズ,13,33,50,16,3,32.0,26.0,0,0,0,2,31,1,1,11,25,9,6,,0.48,0.06,11.3,48.0
野嶋華澄,NECレッドロケッツ,8,20,0,0,0,,,0,0,0,0,25,0,1,6,0,0,0,,0.0,0.0,5.0,
野本梨佳,久光スプリングス,8,57,584,193,28,33.0,28.3,28,5,3,18,212,5,10,63,280,103,69,17.9,3.39,0.32,8.6,49.1
金杉由香,ヴィクトリーナ姫路,6,37,336,111,22,33.0,26.5,30,9,2,4,97,2,11,32,93,36,22,30.0,3.0,0.11,7.5,50.5
金田修佳,岡山シーガルズ,18,78,883,320,23,36.2,33.6,3,1,0,16,233,1,4,42,444,235,77,33.3,4.1,0.21,4.5,61.6
鍋谷友理枝,デンソーエアリービーズ,15,54,418,141,12,33.7,30.9,32,8,1,12,182,8,10,47,269,140,66,25.0,2.61,0.22,9.5,64.3
長内美和子,日立リヴァーレ,13,63,699,224,43,32.0,25.9,34,8,4,10,173,12,40,56,160,69,41,23.5,3.56,0.16,9.2,55.9
長岡望悠,久光スプリングス,1,27,150,72,11,48.0,40.7,23,10,5,3,45,0,6,6,1,1,0,43.5,2.67,0.11,0.0,100.0
長瀬そら,岡山シーガルズ,26,25,98,33,6,33.7,27.6,0,0,0,12,46,1,3,9,2,1,1,,1.32,0.48,5.4,75.0
長野有紗,ヴィクトリーナ姫路,5,43,155,54,7,34.8,30.3,0,0,0,13,127,1,16,39,7,3,2,,1.26,0.3,5.3,57.1
間橋香織,KUROBEアクアフェアリーズ,3,64,504,185,34,36.7,30.0,12,3,3,19,180,1,19,49,482,165,158,25.0,2.89,0.3,4.7,50.6
関菜々巳,東レアローズ,10,71,22,13,0,59.1,59.1,1,0,0,3,236,16,7,78,3,0,1,0.0,0.18,0.04,14.3,16.7
雑賀恵斗,日立リヴァーレ,21,47,36,14,1,38.9,36.1,0,0,0,6,106,1,16,34,2,0,0,,0.3,0.13,5.2,0.0
青柳京古,埼玉上尾メディックス,11,69,338,138,7,40.8,38.8,1,0,0,21,247,10,12,62,22,10,2,0.0,2.0,0.3,9.1,50.0
馬場ゆりか,KUROBEアクアフェアリーズ,4,41,0,0,0,,,0,0,0,0,0,0,0,0,104,54,27,,0.0,0.0,,64.9
高柳有里,岡山シーガルズ,9,5,28,8,0,28.6,28.6,0,0,0,1,6,0,0,3,16,4,4,,1.6,0.2,12.5,37.5
高相みな実,PFUブルーキャッツ,8,50,424,135,21,31.8,26.9,47,7,6,3,165,9,16,38,391,186,82,14.9,2.7,0.06,8.8,58.1
高野由里加,岡山シーガルズ,21,11,27,5,2,18.5,11.1,0,0,0,2,23,0,0,6,0,0,0,,0.45,0.18,6.5,
鴫原ひなた,トヨタ車体クインシーズ,1,59,435,137,34,31.5,23.7,14,3,3,8,163,9,15,65,340,159,78,21.4,2.32,0.14,13.2,58.2
黒後愛,東レアローズ,9,71,600,252,22,42.0,38.3,66,16,8,21,228,13,30,62,443,198,119,24.2,3.55,0.3,9.2,58.1
齋藤加奈子,日立リヴァーレ,7,59,0,0,0,,,0,0,0,0,7,0,0,1,205,103,49,,0.0,0.0,3.6,62.2
