名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
前田明里,岡山シーガルズ,23,2,5,2,0,40.0,40.0,0,0,0,0,1,0,0,1,10,2,1,,1.0,0.0,25.0,25.0
加藤光,久光スプリングス,7,48,0,0,0,,,0,0,0,0,73,2,2,19,0,0,0,,0.0,0.0,8.6,
原幸歩,トヨタ車体クインシーズ,4,9,98,36,4,36.7,32.7,4,2,0,9,31,1,2,8,77,16,22,50.0,4.0,1.0,8.1,35.1
及川真夢,岡山シーガルズ,8,55,277,113,11,40.8,36.8,0,0,0,28,173,4,7,38,19,15,3,,2.05,0.51,6.8,86.8
古川あおいアン,岡山シーガルズ,15,34,248,85,15,34.3,28.2,10,2,1,4,42,1,0,6,58,20,8,20.0,2.5,0.12,6.0,41.4
古谷ちなみ,NECレッドロケッツ,11,10,79,22,6,27.8,20.3,12,5,2,1,29,2,4,6,31,7,15,41.7,2.2,0.1,8.6,46.8
古賀紗理那,NECレッドロケッツ,2,73,742,315,32,42.5,38.1,104,32,10,31,319,16,21,122,444,230,102,30.8,4.32,0.42,12.9,63.3
合屋咲希,PFUブルーキャッツ,7,37,98,27,6,27.6,21.4,0,0,0,0,14,0,5,1,69,20,17,,0.73,0.0,-7.1,41.3
吉岡可奈,ヴィクトリーナ姫路,9,2,4,0,0,0.0,0.0,0,0,0,0,2,0,1,0,0,0,0,,0.0,0.0,-12.5,
吉岡美晴,岡山シーガルズ,4,69,769,235,32,30.6,26.4,0,0,0,7,196,4,10,31,488,229,95,,3.41,0.1,4.7,56.7
吉田あゆみ,NECレッドロケッツ,15,5,21,11,1,52.4,47.6,0,0,0,0,11,0,0,1,39,9,8,,2.2,0.0,2.3,33.3
吉野優理,埼玉上尾メディックス,8,72,704,245,44,34.8,28.6,30,12,5,9,297,13,29,101,532,237,117,40.0,3.4,0.12,10.4,55.5
和才奈々美,PFUブルーキャッツ,33,44,14,2,1,14.3,7.1,1,0,0,0,7,0,2,1,172,68,49,0.0,0.05,0.0,-3.6,53.8
和田由紀子,JTマーヴェラス,16,2,5,1,0,20.0,20.0,2,1,0,0,1,0,0,0,0,0,0,50.0,0.5,0.0,0.0,
坂本侑,東レアローズ,15,3,0,0,0,,,0,0,0,0,4,0,1,1,0,0,0,,0.0,0.0,0.0,
堀井有蘭,日立リヴァーレ,3,20,34,11,0,32.4,32.4,0,0,0,6,38,0,3,2,17,9,3,,0.55,0.3,-0.7,61.8
堀口あやか,PFUブルーキャッツ,11,50,384,112,11,29.2,26.3,26,3,1,4,146,8,29,44,113,45,30,11.5,2.24,0.08,8.0,53.1
堀江美志,埼玉上尾メディックス,4,33,128,37,5,28.9,25.0,20,2,1,0,57,5,4,19,22,6,7,10.0,1.12,0.0,15.4,43.2
堀込奈央,ヴィクトリーナ姫路,7,62,0,0,0,,,0,0,0,0,80,1,2,16,1,0,0,,0.0,0.0,5.6,0.0
塚田しおり,NECレッドロケッツ,3,40,4,2,0,50.0,50.0,0,0,0,2,84,1,4,20,4,0,0,,0.05,0.05,6.0,0.0
境紗里奈,日立リヴァーレ,18,33,0,0,0,,,0,0,0,0,41,2,1,7,0,0,0,,0.0,0.0,8.5,
大元朱菜,ヴィクトリーナ姫路,3,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
大室璃紗,埼玉上尾メディックス,23,31,0,0,0,,,0,0,0,0,28,0,3,4,36,16,10,,0.0,0.0,0.9,58.3
大崎琴未,東レアローズ,14,21,2,0,0,0.0,0.0,0,0,0,0,29,1,1,8,0,0,0,,0.0,0.0,9.5,
大竹里歩,デンソーエアリービーズ,5,10,20,10,0,50.0,50.0,0,0,0,1,22,0,2,4,1,0,0,,1.0,0.1,2.3,0.0
大野果歩,東レアローズ,2,62,174,81,10,46.6,40.8,0,0,0,29,216,4,13,37,8,4,0,,1.31,0.47,4.6,50.0
奥村麻依,デンソーエアリービーズ,13,73,268,96,5,35.8,34.0,0,0,0,42,243,5,7,52,11,7,2,,1.32,0.58,6.7,72.7
孫田菜奈,ヴィクトリーナ姫路,12,53,160,55,8,34.4,29.4,0,0,0,4,62,5,5,12,34,9,9,,1.04,0.08,10.9,39.7
宇賀神みずき,岡山シーガルズ,5,55,8,3,0,37.5,37.5,1,1,0,2,116,3,3,20,4,0,0,100.0,0.05,0.04,6.2,0.0
安井由香子,トヨタ車体クインシーズ,19,45,0,0,0,,,0,0,0,0,0,0,0,0,160,89,31,,0.0,0.0,,65.3
安田美南,NECレッドロケッツ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
宮下遥,岡山シーガルズ,14,66,17,7,1,41.2,35.3,0,0,0,13,202,4,6,43,5,0,0,,0.11,0.2,6.6,0.0
宮地佳乃,ヴィクトリーナ姫路,8,11,46,6,4,13.0,4.3,3,0,1,1,6,0,3,1,0,0,0,0.0,0.55,0.09,-8.3,
小口樹葉,デンソーエアリービーズ,9,3,0,0,0,,,0,0,0,0,0,0,0,0,6,4,1,,0.0,0.0,,75.0
小島満菜美,NECレッドロケッツ,16,73,0,0,0,,,0,0,0,0,0,0,0,0,330,139,93,,0.0,0.0,,56.2
小島絢野,久光スプリングス,24,9,2,1,0,50.0,50.0,0,0,0,0,17,1,1,3,0,0,0,,0.11,0.0,8.8,
小川愛里奈,東レアローズ,8,44,173,80,5,46.2,43.4,0,0,0,16,123,6,7,38,3,2,1,,1.82,0.36,11.2,83.3
小川杏奈,JTマーヴェラス,3,29,72,36,5,50.0,43.1,1,1,0,11,107,5,5,35,3,0,1,100.0,1.24,0.38,11.7,16.7
小幡真子,JTマーヴェラス,15,73,0,0,0,,,0,0,0,0,0,0,0,0,241,148,33,,0.0,0.0,,68.3
小杉凜華,KUROBEアクアフェアリーズ,19,27,44,7,2,15.9,11.4,0,0,0,5,63,2,5,16,3,1,0,,0.26,0.19,7.5,33.3
小池杏菜,日立リヴァーレ,10,72,0,0,0,,,0,0,0,0,0,0,0,0,113,54,25,,0.0,0.0,,58.8
小西愛衣,KUROBEアクアフェアリーズ,15,72,28,11,1,39.3,35.7,0,0,0,3,239,8,18,43,2,0,1,,0.15,0.04,6.0,25.0
小野寺友香,日立リヴァーレ,2,48,7,3,0,42.9,42.9,0,0,0,6,147,6,4,45,0,0,0,,0.06,0.12,11.1,
小野寺夏希,岡山シーガルズ,31,4,0,0,0,,,0,0,0,0,9,0,0,1,0,0,0,,0.0,0.0,2.8,
居村杏奈,岡山シーガルズ,12,45,159,70,6,44.0,40.3,1,0,0,11,125,1,2,29,10,4,1,0.0,1.56,0.24,6.2,45.0
山上有紀,トヨタ車体クインシーズ,18,41,11,3,1,27.3,18.2,0,0,0,4,107,5,12,29,2,0,0,,0.07,0.1,8.6,0.0
山下遥香,PFUブルーキャッツ,9,59,14,6,0,42.9,42.9,1,0,0,7,145,6,26,34,1,0,0,0.0,0.1,0.12,5.5,0.0
山内美咲,NECレッドロケッツ,12,52,226,78,11,34.5,29.6,16,1,1,14,125,11,3,37,179,81,44,6.2,1.5,0.27,15.6,57.5
山口珠李,埼玉上尾メディックス,6,21,65,27,5,41.5,33.8,3,0,1,2,42,2,4,11,1,0,1,0.0,1.29,0.1,8.9,50.0
山城愛心,KUROBEアクアフェアリーズ,6,6,28,7,0,25.0,25.0,1,0,0,4,18,0,1,4,45,8,19,0.0,1.17,0.67,4.2,38.9
山岸あかね,埼玉上尾メディックス,7,71,0,0,0,,,0,0,0,0,0,0,0,0,308,147,73,,0.0,0.0,,59.6
山崎のの花,埼玉上尾メディックス,5,72,32,13,0,40.6,40.6,0,0,0,29,256,7,14,75,3,0,0,,0.18,0.4,8.7,0.0
山形理沙子,トヨタ車体クインシーズ,20,22,10,4,0,40.0,40.0,0,0,0,2,47,2,2,16,0,0,0,,0.18,0.09,11.7,
山田二千華,NECレッドロケッツ,13,59,194,75,8,38.7,34.5,0,0,0,37,217,7,13,49,21,10,4,,1.27,0.63,7.4,57.1
岩坂名奈,久光スプリングス,4,36,77,33,0,42.9,42.9,0,0,0,16,126,6,4,31,4,1,1,,0.92,0.44,10.1,37.5
岩澤実育,埼玉上尾メディックス,12,13,0,0,0,,,0,0,0,0,20,2,2,7,22,12,7,,0.0,0.0,16.2,70.5
島村春世,NECレッドロケッツ,1,60,302,156,7,51.7,49.3,0,0,0,18,160,6,4,32,27,13,6,,2.6,0.3,8.1,59.3
