名前,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率,チーム
田代,14,7,1,50.0,42.9,7,0,0,0,235,7,11,90.0,144,0.62,,デンソーエアリービーズ
横田,70,31,0,44.3,44.3,21,0,0,0,244,12,26,91.0,151,0.6,,デンソーエアリービーズ
井上,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,デンソーエアリービーズ
鍋谷,180,50,5,27.8,25.0,12,0,0,0,198,8,11,73.0,118,0.62,,デンソーエアリービーズ
森谷,11,6,0,54.5,54.5,0,0,0,0,91,5,5,34.0,56,0.61,,デンソーエアリービーズ
兵頭,38,12,3,31.6,23.7,0,0,0,0,62,2,4,30.0,35,0.86,,デンソーエアリービーズ
東谷,87,27,2,31.0,28.7,5,0,0,0,59,0,7,14.0,46,0.3,,デンソーエアリービーズ
大竹,4,2,0,50.0,50.0,1,0,0,0,22,0,2,10.0,11,0.91,,デンソーエアリービーズ
小口,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,デンソーエアリービーズ
田原,0,0,0,,,0,0,0,0,5,0,2,2.0,3,0.67,,デンソーエアリービーズ
松井,6,1,0,16.7,16.7,0,0,0,0,66,2,1,25.0,41,0.61,,デンソーエアリービーズ
福留,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,デンソーエアリービーズ
村永,30,5,0,16.7,16.7,3,0,0,0,41,3,2,19.0,26,0.73,,トヨタ車体クインシーズ
藪田,240,77,21,32.1,23.3,11,0,0,0,310,14,28,121.0,179,0.68,,トヨタ車体クインシーズ
荒木,65,28,3,43.1,38.5,38,0,0,0,305,21,16,101.0,204,0.5,,トヨタ車体クインシーズ
ソロカイテ,313,97,21,31.0,24.3,19,0,0,0,262,11,51,82.0,186,0.44,,トヨタ車体クインシーズ
榊原,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,トヨタ車体クインシーズ
渡邊,59,19,2,32.2,28.8,15,0,0,0,207,8,7,64.0,148,0.43,,トヨタ車体クインシーズ
山上,3,1,0,33.3,33.3,1,0,0,0,107,5,12,41.0,67,0.61,,トヨタ車体クインシーズ
辻,0,0,0,,,0,0,0,0,5,1,2,2.0,3,0.67,,トヨタ車体クインシーズ
松本,11,3,2,27.3,9.1,3,0,0,0,24,1,0,5.0,19,0.26,,トヨタ車体クインシーズ
山形,6,1,0,16.7,16.7,1,0,0,0,80,3,3,28.0,50,0.56,,トヨタ車体クインシーズ
鴫原,164,51,16,31.1,21.3,6,0,0,0,204,12,20,70.0,131,0.53,,トヨタ車体クインシーズ
グーパート,6,3,0,50.0,50.0,3,0,0,0,100,1,5,44.0,52,0.85,,トヨタ車体クインシーズ
安井,0,0,0,,,0,0,0,0,0,0,0,0.0,0,,,トヨタ車体クインシーズ
熊井,24,7,3,29.2,16.7,0,0,0,0,41,1,5,17.0,24,0.71,,トヨタ車体クインシーズ
