チーム,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率
JTマーヴェラス,1058,413,53,39.0,34.0,132,0,0,0,1914,76,168,754.0,1160,0.65,
KUROBEアクアフェアリーズ,929,283,66,30.5,23.4,79,0,0,0,1710,54,168,544.0,1166,0.47,
NECレッドロケッツ,1186,429,65,36.2,30.7,125,0,0,0,1921,72,116,768.0,1153,0.67,
PFUブルーキャッツ,767,242,37,31.6,26.7,66,0,0,0,1405,52,164,476.0,929,0.51,
デンソーエアリービーズ,1151,398,55,34.6,29.8,111,0,0,0,1849,64,124,701.0,1148,0.61,
トヨタ車体クインシーズ,960,304,71,31.7,24.3,107,0,0,0,1722,82,153,607.0,1115,0.54,
ヴィクトリーナ姫路,1145,374,61,32.7,27.3,76,0,0,0,1971,75,164,677.0,1294,0.52,
久光スプリングス,1065,349,59,32.8,27.2,156,0,0,0,1918,71,125,740.0,1178,0.63,
埼玉上尾メディックス,1166,401,50,34.4,30.1,102,0,0,0,1875,67,159,739.0,1135,0.65,
岡山シーガルズ,1307,441,46,33.7,30.2,98,0,0,0,1916,41,61,741.0,1175,0.63,
日立リヴァーレ,1042,330,71,31.7,24.9,119,0,0,0,1914,93,172,658.0,1254,0.52,
東レアローズ,1102,416,54,37.7,32.8,130,0,0,0,1922,96,172,792.0,1130,0.7,
